Serial No.,Stocks allowed for MIS,Margin allowed,,,Serial No.,Stocks which were allowed but temporarily banned,Reason
335,NHPC,5X,,,,,
336,NIACL,5X,,,,,
337,NIFTYBEES,5X,,,,,
338,NIITLTD,5X,,,,,
339,NILKAMAL,5X,,,,,
340,NLCINDIA,5X,,,,,
341,NMDC,5X,,,,,
342,NOCIL,5X,,,,,
343,NOVARTIND,5X,,,,,
344,NTPC,5X,,,,,
345,OBEROIRLTY,5X,,,,,
346,OFSS,5X,,,,,
347,OIL,5X,,,,,
348,OMAXE,5X,,,,,
349,ONGC,5X,,,,,
350,ORIENTELEC,5X,,,,,
351,PAGEIND,5X,,,,,
352,PEL,5X,,,,,
353,PERSISTENT,5X,,,,,
354,PETRONET,5X,,,,,
355,PFC,5X,,,,,
356,PFIZER,5X,,,,,
357,PGHH,5X,,,,,
358,PGHL,5X,,,,,
359,PHILIPCARB,5X,,,,,
360,PHOENIXLTD,5X,,,,,
361,PIDILITIND,5X,,,,,
362,PIIND,5X,,,,,
363,PILANIINVS,5X,,,,,
364,PNB,5X,,,,,
365,PNCINFRA,5X,,,,,
366,POLYCAB,5X,,,,,
367,POLYMED,5X,,,,,
368,POLYPLEX,5X,,,,,
369,POWERGRID,5X,,,,,
370,POWERINDIA,5X,,,,,
371,PRESTIGE,5X,,,,,
372,PRSMJOHNSN,5X,,,,,
373,PSB,5X,,,,,
374,PSPPROJECT,5X,,,,,
375,PVR,5X,,,,,
376,QUESS,5X,,,,,
377,RADICO,5X,,,,,
378,RAIN,5X,,,,,
379,RAJESHEXPO,5X,,,,,
380,RALLIS,5X,,,,,
381,RAMCOCEM,5X,,,,,
382,RAMCOIND,5X,,,,,
383,RATNAMANI,5X,,,,,
384,RAYMOND,5X,,,,,
385,RBLBANK,5X,,,,,
386,RCF,5X,,,,,
387,RECLTD,5X,,,,,
388,REDINGTON,5X,,,,,
389,RELAXO,5X,,,,,
390,RELIANCE,5X,,,,,
391,RHIM,5X,,,,,
392,RITES,5X,,,,,
393,ROSSARI,5X,,,,,
394,RSYSTEMS,5X,,,,,
395,RUCHI,5X,,,,,
396,RVNL,5X,,,,,
397,SAIL,5X,,,,,
398,SANOFI,5X,,,,,
399,SBICARD,5X,,,,,
400,SBILIFE,5X,,,,,
401,SBIN,5X,,,,,
402,SCHAEFFLER,5X,,,,,
403,SCHNEIDER,5X,,,,,
404,SCI,5X,,,,,
405,SEQUENT,5X,,,,,
406,SFL,5X,,,,,
407,SHARDACROP,5X,,,,,
408,SHILPAMED,5X,,,,,
409,SHOPERSTOP,5X,,,,,
410,SHREECEM,5X,,,,,
411,SHRIRAMCIT,5X,,,,,
412,SIEMENS,5X,,,,,
413,SIS,5X,,,,,
414,SJVN,5X,,,,,
415,SKFINDIA,5X,,,,,
416,SOLARA,5X,,,,,
417,SOLARINDS,5X,,,,,
418,SONATSOFTW,5X,,,,,
419,SOUTHBANK,5X,,,,,
420,SPANDANA,5X,,,,,
421,SPARC,5X,,,,,
422,SPICEJET,5X,,,,,
423,SRF,5X,,,,,
424,SRTRANSFIN,5X,,,,,
425,STAR,5X,,,,,
426,STARCEMENT,5X,,,,,
427,STLTECH,5X,,,,,
428,SUDARSCHEM,5X,,,,,
429,SUMICHEM,5X,,,,,
430,SUNCLAYLTD,5X,,,,,
431,SUNDARMFIN,5X,,,,,
432,SUNDRMFAST,5X,,,,,
433,SUNPHARMA,5X,,,,,
434,SUNTECK,5X,,,,,
435,SUNTV,5X,,,,,
436,SUPRAJIT,5X,,,,,
437,SUPREMEIND,5X,,,,,
438,SUVENPHAR,5X,,,,,
439,SWARAJENG,5X,,,,,
440,SWSOLAR,3X,,,,,
441,SYMPHONY,5X,,,,,
442,SYNGENE,5X,,,,,
443,TASTYBITE,5X,,,,,
444,TATACHEM,5X,,,,,
445,TATACOFFEE,5X,,,,,
446,TATACOMM,5X,,,,,
447,TATACONSUM,5X,,,,,
448,TATAINVEST,5X,,,,,
449,TATAMETALI,5X,,,,,
450,TATAMOTORS,5X,,,,,
451,TATAMTRDVR,5X,,,,,
452,TATAPOWER,5X,,,,,
453,TATASTEEL,5X,,,,,
454,TCI,5X,,,,,
455,TCIEXP,5X,,,,,
